group,trial_id,condition,list,target_pronoun,target_id,target_image,target_name,target_file,target_x,distractor_pronoun,distractor_id,distractor_image,distractor_name,distractor_file,distractor_x,object_image,object_x,object_y2,object_y3,object_y4,sibling_image,top_left,bottom_left,top_right,bottom_right,correct_description
4,both_list4_practice2,both,4,she,5,fem2,sam,fem2_she_sam_nametag.png,65,he,13,masc2,dan,masc2_he_dan_nametag.png,35,popcorn.png,80,40,30,20,fem2_brother.png,masc2_brother.png,masc2_sister.png,fem2_brother.png,fem2_sister.png,Sam gave the popcorn to her brother
4,both_list4_practice3,both,4,they,3,fem1,emily,fem1_they_emily_nametag.png,35,she,5,fem2,sam,fem2_she_sam_nametag.png,65,hotdog.png,20,40,30,20,fem1_sister.png,fem1_sister.png,fem1_brother.png,fem2_brother.png,fem2_sister.png,Emily gave the hotdog to their sister
5,both_list5_practice1,both,5,he,16,masc3,dan,masc3_he_dan_nametag.png,35,they,6,fem2,jessica,fem2_they_jessica_nametag.png,65,sandwich.png,20,40,30,20,masc3_sister.png,masc3_sister.png,masc3_brother.png,fem2_brother.png,fem2_sister.png,Dan gave the sandwich to his sister
5,both_list5_practice2,both,5,she,1,fem1,alex,fem1_she_alex_nametag.png,65,he,16,masc3,dan,masc3_he_dan_nametag.png,35,popcorn.png,80,40,30,20,fem1_brother.png,masc3_brother.png,masc3_sister.png,fem1_brother.png,fem1_sister.png,Alex gave the popcorn to her brother
5,both_list5_practice3,both,5,they,6,fem2,jessica,fem2_they_jessica_nametag.png,35,she,1,fem1,alex,fem1_she_alex_nametag.png,65,hotdog.png,20,60,70,80,fem2_sister.png,fem2_brother.png,fem2_sister.png,fem1_sister.png,fem1_brother.png,Jessica gave the hotdog to their sister
6,both_list6_practice1,both,6,he,17,masc3,brian,masc3_he_brian_nametag.png,35,they,9,fem3,alex,fem3_they_alex_nametag.png,65,sandwich.png,20,60,70,80,masc3_brother.png,masc3_sister.png,masc3_brother.png,fem3_brother.png,fem3_sister.png,Brian gave the sandwich to his brother
6,both_list6_practice2,both,6,she,4,fem2,emily,fem2_she_emily_nametag.png,65,he,17,masc3,brian,masc3_he_brian_nametag.png,35,popcorn.png,80,60,70,80,fem2_brother.png,masc3_sister.png,masc3_brother.png,fem2_sister.png,fem2_brother.png,Emily gave the popcorn to her brother
6,both_list6_practice3,both,6,they,9,fem3,alex,fem3_they_alex_nametag.png,35,she,4,fem2,emily,fem2_she_emily_nametag.png,65,hotdog.png,20,40,30,20,fem3_sister.png,fem3_sister.png,fem3_brother.png,fem2_sister.png,fem2_brother.png,Alex gave the hotdog to their sister
7,nametag_list1_practice1,nametag,1,he,14,masc2,alex,masc2_he_alex_nametag.png,35,they,12,masc1,dan,masc1_they_dan_nametag.png,65,sandwich.png,20,40,30,20,masc2_brother.png,masc2_brother.png,masc2_sister.png,masc1_brother.png,masc1_sister.png,Alex gave the sandwich to his brother
7,nametag_list1_practice2,nametag,1,she,8,fem3,jessica,fem3_she_jessica_nametag.png,65,he,14,masc2,alex,masc2_he_alex_nametag.png,35,popcorn.png,80,60,70,80,fem3_brother.png,masc2_sister.png,masc2_brother.png,fem3_sister.png,fem3_brother.png,Jessica gave the popcorn to her brother
7,nametag_list1_practice3,nametag,1,they,12,masc1,dan,masc1_they_dan_nametag.png,35,she,8,fem3,jessica,fem3_she_jessica_nametag.png,65,hotdog.png,20,60,70,80,masc1_brother.png,masc1_sister.png,masc1_brother.png,fem3_sister.png,fem3_brother.png,Dan gave the hotdog to their brother
8,nametag_list2_practice1,nametag,2,he,10,masc1,sam,masc1_he_sam_nametag.png,35,they,15,masc2,brian,masc2_they_brian_nametag.png,65,sandwich.png,20,60,70,80,masc1_sister.png,masc1_brother.png,masc1_sister.png,masc2_brother.png,masc2_sister.png,Sam gave the sandwich to his sister
8,nametag_list2_practice2,nametag,2,she,2,fem1,jessica,fem1_she_jessica_nametag.png,65,he,10,masc1,sam,masc1_he_sam_nametag.png,35,popcorn.png,80,60,70,80,fem1_brother.png,masc1_brother.png,masc1_sister.png,fem1_sister.png,fem1_brother.png,Jessica gave the popcorn to her brother
8,nametag_list2_practice3,nametag,2,they,15,masc2,brian,masc2_they_brian_nametag.png,35,she,2,fem1,jessica,fem1_she_jessica_nametag.png,65,hotdog.png,20,40,30,20,masc2_sister.png,masc2_sister.png,masc2_brother.png,fem1_brother.png,fem1_sister.png,Brian gave the hotdog to their sister
9,nametag_list3_practice1,nametag,3,he,11,masc1,brian,masc1_he_brian_nametag.png,35,they,18,masc3,sam,masc3_they_sam_nametag.png,65,sandwich.png,20,40,30,20,masc1_sister.png,masc1_sister.png,masc1_brother.png,masc3_brother.png,masc3_sister.png,Brian gave the sandwich to his sister
9,nametag_list3_practice2,nametag,3,she,7,fem3,emily,fem3_she_emily_nametag.png,65,he,11,masc1,brian,masc1_he_brian_nametag.png,35,popcorn.png,80,40,30,20,fem3_brother.png,masc1_sister.png,masc1_brother.png,fem3_brother.png,fem3_sister.png,Emily gave the popcorn to her brother
9,nametag_list3_practice3,nametag,3,they,18,masc3,sam,masc3_they_sam_nametag.png,35,she,7,fem3,emily,fem3_she_emily_nametag.png,65,hotdog.png,20,60,70,80,masc3_sister.png,masc3_brother.png,masc3_sister.png,fem3_brother.png,fem3_sister.png,Sam gave the hotdog to their sister
10,nametag_list4_practice1,nametag,4,he,13,masc2,dan,masc2_he_dan_nametag.png,35,they,3,fem1,emily,fem1_they_emily_nametag.png,65,sandwich.png,20,60,70,80,masc2_sister.png,masc2_brother.png,masc2_sister.png,fem1_brother.png,fem1_sister.png,Dan gave the sandwich to his sister
10,nametag_list4_practice2,nametag,4,she,5,fem2,sam,fem2_she_sam_nametag.png,65,he,13,masc2,dan,masc2_he_dan_nametag.png,35,popcorn.png,80,40,30,20,fem2_brother.png,masc2_brother.png,masc2_sister.png,fem2_brother.png,fem2_sister.png,Sam gave the popcorn to her brother
10,nametag_list4_practice3,nametag,4,they,3,fem1,emily,fem1_they_emily_nametag.png,35,she,5,fem2,sam,fem2_she_sam_nametag.png,65,hotdog.png,20,40,30,20,fem1_sister.png,fem1_sister.png,fem1_brother.png,fem2_brother.png,fem2_sister.png,Emily gave the hotdog to their sister
11,nametag_list5_practice1,nametag,5,he,16,masc3,dan,masc3_he_dan_nametag.png,35,they,6,fem2,jessica,fem2_they_jessica_nametag.png,65,sandwich.png,20,40,30,20,masc3_sister.png,masc3_sister.png,masc3_brother.png,fem2_brother.png,fem2_sister.png,Dan gave the sandwich to his sister
11,nametag_list5_practice2,nametag,5,she,1,fem1,alex,fem1_she_alex_nametag.png,65,he,16,masc3,dan,masc3_he_dan_nametag.png,35,popcorn.png,80,40,30,20,fem1_brother.png,masc3_brother.png,masc3_sister.png,fem1_brother.png,fem1_sister.png,Alex gave the popcorn to her brother
11,nametag_list5_practice3,nametag,5,they,6,fem2,jessica,fem2_they_jessica_nametag.png,35,she,1,fem1,alex,fem1_she_alex_nametag.png,65,hotdog.png,20,60,70,80,fem2_sister.png,fem2_brother.png,fem2_sister.png,fem1_sister.png,fem1_brother.png,Jessica gave the hotdog to their sister
12,nametag_list6_practice1,nametag,6,he,17,masc3,brian,masc3_he_brian_nametag.png,35,they,9,fem3,alex,fem3_they_alex_nametag.png,65,sandwich.png,20,60,70,80,masc3_brother.png,masc3_sister.png,masc3_brother.png,fem3_brother.png,fem3_sister.png,Brian gave the sandwich to his brother
12,nametag_list6_practice2,nametag,6,she,4,fem2,emily,fem2_she_emily_nametag.png,65,he,17,masc3,brian,masc3_he_brian_nametag.png,35,popcorn.png,80,60,70,80,fem2_brother.png,masc3_sister.png,masc3_brother.png,fem2_sister.png,fem2_brother.png,Emily gave the popcorn to her brother
12,nametag_list6_practice3,nametag,6,they,9,fem3,alex,fem3_they_alex_nametag.png,35,she,4,fem2,emily,fem2_she_emily_nametag.png,65,hotdog.png,20,40,30,20,fem3_sister.png,fem3_sister.png,fem3_brother.png,fem2_sister.png,fem2_brother.png,Alex gave the hotdog to their sister
